,question,responses,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Wiki_Top1,Wiki_Top2,Wiki_Top3,DBpedia_Top1,DBpedia_Top2,DBpedia_Top3
0,Who is the president of Poland?,['Andrzej Duda'],['Gończy Polski'],"['Gończy Polski', 'Wasilew Szlachecki']","['Gończy Polski', 'Wasilew Szlachecki', 'Bohuslav']",['Wasilew Szlachecki'],"['Wasilew Szlachecki', 'Bohuslav']","['Wasilew Szlachecki', 'Bohuslav']",['Gończy Polski'],"['Gończy Polski', 'Łukasz Mikołajczyk']","['Gończy Polski', 'Łukasz Mikołajczyk']"
1,How many Turing awards have people from Austria won?,['0'],['9'],['9'],['9'],[],[],[],['9'],['9'],['9']
2,Give me all countries that have won a FIFA World Cup,"['Argentina national football team', ' Brazil national football team', ' Uruguay national football team', ' Italy national association football team', ' Spain national association football team', ' Germany national association football team', ' England national association football team', ' France national association football team']",['Croatia.'],"['Croatia.', 'no.']","['Croatia.', 'no.', '2022.']",['Spain'],['Spain'],['Spain'],['Croatia.'],"['Croatia.', 'no.']","['Croatia.', 'no.', '2022.']"
3,What is the population of Chile?,['19458000'],['23.5522'],"['23.5522', '9820.89']","['23.5522', '9820.89', '18054726']",['18054726'],['18054726'],['18054726'],['23.5522'],"['23.5522', '9820.89']","['23.5522', '9820.89']"
4,Who is the author of One Piece?,['Eiichiro Oda'],['Eiichiro Oda'],"['Eiichiro Oda', 'Eiichiro Oda']","['Eiichiro Oda', 'Eiichiro Oda', 'Bandai']",['Eiichiro Oda'],['Eiichiro Oda'],['Eiichiro Oda'],['Eiichiro Oda'],"['Eiichiro Oda', 'Bandai']","['Eiichiro Oda', 'Bandai']"
5,Which musicians are from Sweden?,"['Anna Järvinen', ' Bertilo Wennergren', ' Mats Levén', ' Thore Ehrling', ' Mika Karppinen', ' Kristian Wåhlin', ' Dr. Alban', ' Oscar Dronjak', ' Adam Nordén', ' Erik Josefsson']",['rock music'],"['rock music', 'Nils-Eric Johansson']","['rock music', 'Nils-Eric Johansson', 'Nils-Eric Johansson']",['rock music'],['rock music'],['rock music'],['Nils-Eric Johansson'],"['Nils-Eric Johansson', 'Nils-Eric Johansson']","['Nils-Eric Johansson', 'Nils-Eric Johansson', 'Japan']"
6,How many movies has Tarantino directed?,['19'],,,,,,,,,
7,Is New York bigger than Beijing?,['False'],,,,,,,,,
8,what countries are part of the European Union?,"['Ireland', ' Hungary', ' Spain', ' Belgium', ' Luxembourg', ' Finland', ' Sweden', ' Denmark', ' Poland', ' Lithuania']",,,,,,,,,
9,What computer scientists were born after 1970?,"['Luca Trevisan', ' Nick Pippenger', ' Phil Moorby', ' Daniel A. Keim', ' Ian Murdock', ' Sergey Brin', ' Janus Friis', ' Ingo Molnár', ' Blake Ross', ' Umesh Vazirani']",,,,,,,,,
10,Is Leonardo Dicaprio older than Joaquin Phoenix?,['False'],,,,,,,,,
11,In which country is the Museo del Prado located?,['Spain'],,,,,,,,,
12,When did Caesars Palace open?,['1966-08-05T00:00:00Z'],,,,,,,,,
13,Which political party was Abraham Lincoln a member of?,"['Republican Party', ' Whig Party', ' National Union Party']",,,,,,,,,
14,Which paintings feature a banana?,"['The Dream', ' Le Fauteuil de paille', ' The Meal (The Bananas)', ' ""Still life: the artists studio""', ' Still Life with Apples', ' Fruit with Blue-footed Bowl', ' Basket of Bananas', ' Still-life with Black Tray', ' Basket of tangerines and bananas', ' Banana\\xa0Harvest']",,,,,,,,,
15,Do any national flags use pink?,['False'],,,,,,,,,
16,When did Ian Curtis commit suicide?,['1980-05-18T00:00:00Z'],,,,,,,,,
17,Where can I see paintings by El Greco?,"['Museum of Fine Arts', ' Budapest', ' Bowes Museum', ' Hermitage Museum', ' Museo Lázaro Galdiano', ' Museo del Prado', ' Museum of Santa Cruz', ' Benaki Museum', ' São Paulo Museum of Art', ' Museo del Prado', ' Dumbarton Oaks']",,,,,,,,,
18,In which movies did Al Pacino and Robert de Niro appear together?,"['Heat', ' The Godfather Part II', ' Righteous Kill', ' The Godfather Saga', ' I Knew It Was You', ' The Godfather', ' The Godfather Trilogy: 1901-1980', ' The Irishman', ' The Irishman: In Conversation', ' House of Gucci']",,,,,,,,,
19,Who is the youngest head of state in the world?,['Prince Caspian'],,,,,,,,,
20,Which mountains are on Mars?,"['Ascraeus Mons', ' Uranius Mons', ' Syrtis Major Planum', ' Amphitrites Patera', ' Uranius group of volcanoes', ' Novus Mons', ' Jezero Mons', ' Hecates Tholus', ' Alba Mons', ' Apollinaris Mons']",,,,,,,,,
21,What alcoholic drinks are made with orange?,"['Grand Marnier', ' Pruno', ' orange liqueur']",,,,,,,,,
22,Which video games have a fox character?,"['Miles ""Tails"" Prower', ' Sonic Forces: Speed Battle', ' Miles ""Tails"" Prower', ' Sonic P-06', ' Miles ""Tails"" Prower', ' Sonic the Hedgehog', ' Yae Miko', ' Genshin Impact', ' Miles ""Tails"" Prower', ' Sonic the Hedgehog 2', ' Miles ""Tails"" Prower', ' Sonic & Knuckles', ' Carmelita Fox', ' Sly Cooper and the Thievius Raccoonus', ' Miles ""Tails"" Prower', ' Sonic Triple Trouble', ' Miles ""Tails"" Prower', ' Sonic Battle', ' Fox McCloud', ' Super Smash Bros. Brawl']",,,,,,,,,
23,How many astronauts studied at MIT?,['45'],,,,,,,,,
24,When was the first exoplanet discovered?,['1988-01-01T00:00:00Z'],,,,,,,,,
25,Which movies were directed by siblings?,"['Pilot', ' Pilot', ' A Dangerous Adventure', ' A Dangerous Adventure', ' Farewell to Enrico Berlinguer', ' Farewell to Enrico Berlinguer', ' The Three Stooges', ' The Three Stooges', ' Race 2', ' Race 2']",,,,,,,,,
26,What buildings are named after JFK?,"['Kennedy', ' John F. Kennedy International Airport', ' John F. Kennedy Civic Arena', ' John F. Kennedy High School', ' John F. Kennedy Memorial Airport', ' Kennedytunnel', ' Kennedytunnel', ' John F. Kennedy Center for the Performing Arts', ' John F. Kennedy Center for the Performing Arts', ' Président-Kennedy building']",,,,,,,,,
27,When was Hey Jude released?,['1968-01-01T00:00:00Z'],,,,,,,,,
28,Which countries have multiple capitals?,"['Sri Lanka', ' 2', ' South Africa', ' 3', ' Bolivia', ' 2', ' Yemen', ' 2', ' Eswatini', ' 2', ' Union between Sweden and Norway', ' 2', ' Kalmar Union', ' 5', ' Denmark-Norway', ' 2', ' Brandenburg-Prussia', ' 2', ' Republic of Formosa', ' 2']",,,,,,,,,
29,Which video games are known to be NP complete?,['-'],,,,,,,,,
30,What is the most common cause of death among F1 drivers?,"['traffic collision', ' 18']",,,,,,,,,
31,Which asthma drugs are carcinogenic?,['zileuton'],,,,,,,,,
32,Which countries are named after plants?,['-'],,,,,,,,,
33,Which telescopes are based in Chile?,"['ESO 3.6 m Telescope', ' Vera C. Rubin Observatory', ' Leonhard Euler Telescope', ' Víctor M. Blanco Telescope', ' VISTA', ' Extremely Large Telescope', ' The Great Magellan Telescope', ' Vera C. Rubin Observatory', ' Southern Astrophysical Research Telescope', ' Optical Gravitational Lensing Experiment']",,,,,,,,,
34,What is the chemical symbol for Potassium?,['K'],,,,,,,,,
35,What is the Twitter account of Elon Musk?,['elonmusk'],,,,,,,,,
36,Who is the CEO of eBay?,['Jamie Iannone'],,,,,,,,,
37,Which alkali metal is in period 4,['potassium'],,,,,,,,,
38,Where can I find platypuses?,['Australia'],,,,,,,,,
39,Which endangered species can be found in Chile?,"['Alsodes valdiviensis', ' Alsodes barrioi', ' Insuetophrynus acarpicus', ' Alsodes vanzolinii', ' ""Darwins fox""', ' Chinchilla lanigera', ' Alsodes norae']",,,,,,,,,
40,Which country has the most nuclear power plants?,['United States of America'],,,,,,,,,
41,Which country has the most official languages?,['Zimbabwe'],,,,,,,,,
42,When did ICLR start?,['2013-01-01T00:00:00Z'],,,,,,,,,
43,Which country that does not border Germany has German as an official language?,"['Germany', ' Germany', ' Liechtenstein']",,,,,,,,,
44,What is the national anthem of Greece?,['Hymn to Liberty'],,,,,,,,,
45,Which pair of directors have co-directed the most movies together?,"['Valentina Brumberg', ' Zinaida Brumberg', ' 27']",,,,,,,,,
46,Which company makes Twix?,"['Mars', ' Incorporated']",,,,,,,,,
47,What is the nearest black hole?,['Great Annihilator'],,,,,,,,,
48,Which statues are made of copper?,"['Statue of Liberty', ' Hercules monument', ' Kassel', ' The Seated Scribe', ' Apollo of Piombino', ' -', ' -', ' -', ' -', ' -', ' Bassetki Statue']",,,,,,,,,
49,Which conferences focus on machine learning?,"['International Conference on Machine Learning', ' Conference on Machine Learning and Systems']",,,,,,,,,
50,Which cities are named after an apostle?,"['San Pedro', ' Petropavl', ' Saint Petersburg', ' San Mateo', ' Santiago', ' São Tomé', ' Santiago de los Caballeros', ' Santo Tomé', ' Santo Tomé', ' Santo André']",,,,,,,,,
51,What chocolate bars are made by Nestle?,"['Kit Kat', ' Lion Bar']",,,,,,,,,
52,Who was president before Nixon?,['-'],,,,,,,,,
53,How many books are in the Hitchhiker's Guide to the Galaxy series?,['5'],,,,,,,,,
54,Which Simpsons characters were not born in Springfield?,"['Marge Simpson', ' Capital City', ' Groundskeeper Willie', ' Kirkwall', ' Abbie Simpson', ' England', ' Jebediah Springfield', ' Colony of Virginia', ' Marge Simpson', ' Capital City', ' Groundskeeper Willie', ' Kirkwall', ' Abbie Simpson', ' England', ' Jebediah Springfield', ' Colony of Virginia', ' Marge Simpson', ' Capital City', ' Rich Texan', ' Texas']",,,,,,,,,
55,When was sparkling water invented?,['1767-01-01T00:00:00Z'],,,,,,,,,
56,What articles discuss knowledge graph embeddings?,['-'],,,,,,,,,
57,Who is the tallest basketball player of all time?,['Olivier Rioux'],,,,,,,,,
58,How old is Justin Bieber?,['28'],,,,,,,,,
59,Whose birthday is today?,"['Louis the Pious', ' Lothair', ' Ibn Wasil', ' Louis II', ' Duke of Bavaria', ' Margaret of Valois-Angoulême', ' Johannes Agricola', ' Aloisio Gonzaga', ' Otto Henry', ' Giano Teseo Casopero', ' James V of Scotland', ' Sophia von Alvensleben', ' Grosshans Thomann', ' Johannes Heidenreich', ' Fernando de Gurrea y Aragón', ' ""Bruno d Affringues""', ' Cecilia von Rintdorf', ' Elizabeth Stuart', ' Countess of Lennox', ' Kirsten Holck', ' Nicolò Rusca', ' Johann Baptist Fabricius', ' Johann Georg Volckmar', ' Countess Emilia of Nassau', ' Konrad Heinrich von Ende', ' -', ' Wilhelm Hundertpfundt', ' Melchior Moretus', ' Theophilus Ænetius', ' Augustus the Younger', ' Duke of Brunswick-Lüneburg', ' Nicholas Blake', ' Peter von Gersdorff', ' Ludwig von Janowitz', ' Margarete von Draxdorff', ' Georg Hagen', ' Sir John Langham', ' 1st Baronet', ' Antonius van Achelen', ' Rose of Lima', ' Maria Vittoria Frescobaldi', ' Conrad Geisthövel', ' Christoph Luthard', ' Francesco Rustici', ' Andreas Kinderling', ' Jost Knab', ' Matthäus Apelles von Löwenstern', ' Hercules Langrishe', ' Sibylle Catharina von Witzleben', ' Konrad Wiederhold', ' Caspar Wittich', ' Antonio Caballero de Santa María', ' Pompeo Compagnoni', ' Martin Estanga Arandia', ' Christian Carpzov', ' Anne de Rohan-Guéméné', ' Mary Noel', ' Tobiáš Gebler', ' Urbain Chevreau', ' Johann Siegmund Osterhausen', ' Georg Sigismund Müller', ' Alfonso II Gonzaga', ' Bandino Accarigi', ' Sir John Goodricke', ' 1st Baronet', ' Dorothea Maria', ' Gräfin von Hohenlohe-Waldenburg-Pfedelbach', ' Antonio de Alcántara', ' Vitaliano Borromeo', ' Johann Jakob Baur', ' Christopher Roper', ' 4th Baron Teynham', ' Konoe Hisatsugu', ' Olimpia Aldobrandini', ' Samuel Mearne', ' Hans Hildebrand', ' Francesco Maria Santinelli', ' Johann Matthäus Stumpf', ' José de Aguerri y Churruca', ' ""Nagoya Geni""', ' Johann Fink', ' Antonio de Brocarte Sáenz de Tejada', ' Johann Georg Lange', ' Maria Aldabalde Otamendi', ' Go-Kōmyō', ' Friedrich Casimir zu Eltz', ' Gottfried Samuel Polisius', ' Pietro Farnese', ' William Smith', ' Maria Breitsprach', ' Claude Antoine Couplet', ' Heinrich Meissner', ' Johannes Duyschot', ' Francisco de Artiga', ' Charles Plumier', ' Giacinto Calandrucci', ' Robert Daniell', ' Francois Monnaville', ' Susanna Dorothea zu Egk und Hungersbach', ' Juanes Zubeldia Aguirre', ' Felice Boselli', ' William Bedloe', ' António Carvalho da Costa', ' Maria Regina Hommel', ' ""Foresto dEste""', ' Marie Hay', ' John Backwell']",,,,,,,,,
60,Is Michael Jackson the oldest child?,['True'],,,,,,,,,
61,Which countries have a female head of state?,"['British Columbia', ' Prince Edward Island', ' Saskatchewan', ' Newfoundland and Labrador', ' Cayman Islands', ' Commonwealth of Nations', ' Falkland Islands', ' Isle of Man', ' Turks and Caicos Islands', ' Cook Islands']",,,,,,,,,
62,Which countries have a monarchy?,"['Bhutan', ' British Empire', ' British Empire', ' Ethiopian Empire', ' First Mexican Empire', ' Sweden', ' Denmark', ' Denmark', ' United Kingdom', ' Morocco']",,,,,,,,,
63,Which universities are based in Peru?,"['University of Lima', ' Leonardo Da Vinci University', ' Private University of Trujillo', ' Antenor Orrego Private University', ' Los Andes Peruvian University', ' Catholic University of Trujillo', ' Catholic University Los Angeles of Chimbote', ' Daniel Alcides Carrión National University', ' National University of San Antonio Abad in Cuzco', ' National University of Trujillo']",,,,,,,,,
64,Which element precedes tin in the periodic table?,['Indium'],,,,,,,,,
65,Which element has the lowest melting point?,['fluorine'],,,,,,,,,
66,Which language is the official language of the most countries?,['English'],,,,,,,,,
67,Which culinary nuts are not botanical nuts?,"['apricot kernel', ' almond', ' walnut', ' pine nut', ' hazelnut', ' pecan nut', ' areca nut', ' creamed coconut', ' nut', ' Grenoble walnut']",,,,,,,,,
68,Which colours are named after fruits?,"['cerise', ' lemon', ' citron', ' strawberry', ' raspberry', ' plum', ' olive', ' lime', ' Mandarin orange', ' pear']",,,,,,,,,
69,Which mayors were not human?,['-'],,,,,,,,,
70,Which polygonal numbers are also pronic?,"['210', ' 156', ' 42', ' 506', ' 306', ' 342', ' 870', ' 1332', ' 7140', ' 6']",,,,,,,,,
71,What's the next prime after 51?,['59'],,,,,,,,,
72,What animal can hear the highest frequency?,['Galleria mellonella'],,,,,,,,,
73,Which countries use the same plug as Canada?,"['Peru', ' North Korea', ' Cambodia', ' Palau', ' Federated States of Micronesia', ' Venezuela', ' Guyana', ' Colombia', ' Ecuador', ' Bolivia']",,,,,,,,,
74,Who has won more than one type of Nobel Prize?,"['Linus Pauling', ' Marie Curie']",,,,,,,,,
75,Which city has the most catedrals?,['Moscow'],,,,,,,,,
76,What make of car is a Corolla?,['Toyota'],,,,,,,,,
77,What is the tallest mountain in the Andes?,['-'],,,,,,,,,
78,Which American president had the most wives?,['Donald Trump'],,,,,,,,,
79,Which countries drive on the left?,"['Japan', ' Ireland', ' Kenya', ' United Kingdom', ' Cyprus', ' Malta', ' Barbados', ' Indonesia', ' South Africa', ' Singapore']",,,,,,,,,
80,When was the Rubix cube invented?,['1974-05-19T00:00:00Z'],,,,,,,,,
81,Which conferences were organized by Turing award winners?,"['The 11th International Semantic Web Conference', ' Sixth International Conference on Learning Representations', ' Thirtieth Annual Conference on Neural Information Processing Systems', ' Twenty-Second Annual Conference on Neural Information Processing Systems', ' 3rd International Conference on Learning Representations', ' International Conference on Learning Representations 2013']",,,,,,,,,
82,What video games are made by the developer of League of Legends?,"['Legends of Runeterra', ' League of Legends: Wild Rift', ' League of Legends', ' Cosmic Fantasy Stories', ' Cyborg 009', ' Teamfight Tactics', ' Legends of Runeterra', ' League of Legends: Wild Rift', ' Valorant', ' Teamfight Tactics']",,,,,,,,,
83,"Which writers speak French, Arabic and Japanese?","['František Lorenz', ' Erwin Raisz', ' Carlos Ghosn', ' Charles Berlitz', ' Helen DeWitt']",,,,,,,,,
84,Which pandemic lasted the longest?,['second plague pandemic'],,,,,,,,,
85,Give me all whiskey distilleries in Ireland.,"['Jameson', ' Cooley Distillery', ' Tullamore Dew', ' Kilbeggan Distillery', ' New Midleton Distillery', ' Bandon Distillery', ' Teeling Distillery', ' Roe & Co Distillery']",,,,,,,,,
86,Find animals with Twitter accounts.,['-'],,,,,,,,,
87,How many regions of France are there?,['18'],,,,,,,,,
88,Which living people have an element named after them?,['Yuri Oganessian'],,,,,,,,,
89,Which Chilean companies have U.S. parent companies?,['-'],,,,,,,,,
90,Did Tarantino direct a movie last year?,['False'],,,,,,,,,
91,Which smartphones are made in China?,"['Lenovo IdeaPhone K900', ' LePhone', ' Lenovo A526', ' Lenovo P780', ' Lenovo Vibe Z2 Pro', ' Lenovo Vibe K4 Note', ' -', ' Lenovo Z2 Plus', ' Lenovo P2', ' Lenovo K6 Power']",,,,,,,,,
92,Which animals have a Unicode character?,['-'],,,,,,,,,
93,Which movie of the past decade has won the most Academy Awards?,['Amadeus'],,,,,,,,,
94,Which diesel cars are made by Honda?,['-'],,,,,,,,,
95,Who was the winner of the latest Fields Medal?,['Alessio Figalli'],,,,,,,,,
96,Who wrote The Old Man and the Sea?,['Ernest Hemingway'],,,,,,,,,
97,Which YouTube channels talk about maths?,"['Mathologer', ' PBS Infinite Series', ' Numberphile', ' 3Blue1Brown']",,,,,,,,,
98,List Italian sauces.,"['-', ' ""sugo allamatriciana""', ' tomato sauce', ' cocktail sauce', ' pesto', ' sofrito', ' bolognese sauce', ' Avgolemono', ' fettuccine Alfredo', ' Agliata']",,,,,,,,,
99,What diseases are associated with the gene FGF14?,"['pre-eclampsia', ' gestational hypertension', ' spinocerebellar ataxia type 27']",,,,,,,,,
100,What ultra-cool dwarfs have been found in the constellation Aquarius?,['TRAPPIST-1'],,,,,,,,,
