,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,WEL
52,Who was president before Nixon?,"['president', ' Nixon']","['Q11696', ' Q9588']","['Q30461', 'Q140686', 'Q212071', 'Q1758037', 'Q61061', 'Q1255921', 'Q4376769', 'Q2660648', 'Q7439472', 'Q3226054', 'Q9588', 'Q16880460', 'Q839042', 'Q982235', 'Q252010', 'Q2483008', 'Q1183928', 'Q16858111', 'Q5959289', 'Q16858107']","['Q30461', 'Q839042']","['Q30461', 'Q16880460']","['Q30461', 'Q839042']","['Q30461', 'Q839042']","['Q1255921', 'Q9588']"
53,How many books are in the Hitchhiker's Guide to the Galaxy series?,"['""Hitchhikers Guide to the Galaxy""']",['Q25169'],[],[],[],[],[],"['Q571', 'Q109061', 'Q35852386', 'Q182012']"
54,Which Simpsons characters were not born in Springfield?,"['Simpsons', ' characters', ' Springfield']","['Q61468436', ' Q95074', ' Q151076']","['Q7764350', 'Q23041604', 'Q935959', 'Q21494356', 'Q92980416', 'Q7521163', 'Q79002806', 'Q80583088', 'Q2585271', 'Q182254', 'Q1620031', 'Q5073785', 'Q106450785', 'Q461203', 'Q29278788', 'Q58451696', 'Q60664175', 'Q875368', 'Q4359230', 'Q1439720', 'Q95074', 'Q44374960', 'Q3241972', 'Q1792372', 'Q88392887', 'Q32483', 'Q366773', 'Q928545', 'Q1149305', 'Q1062911', 'Q28515', 'Q49158', 'Q135615', 'Q151076', 'Q40325', 'Q926559', 'Q40268', 'Q191058', 'Q40212', 'Q185323']","['Q21494356', 'Q1620031', 'Q151076']","['Q23041604', 'Q1620031', 'Q28515']","['Q935959', 'Q23041604', 'Q1620031', 'Q28515']","['Q935959', 'Q21494356', 'Q23041604', 'Q1620031', 'Q5073785', 'Q28515', 'Q49158']","['Q886', 'Q49158']"
55,When was sparkling water invented?,['sparkling water'],['Q264554'],"['Q264554', 'Q60065772', 'Q42950194', 'Q48562156', 'Q103843794', 'Q49450563']",['Q60065772'],['Q60065772'],['Q60065772'],['Q60065772'],['Q264554']
56,What articles discuss knowledge graph embeddings?,"['knowledge graph embeddings', ' articles']","['Q33003557', ' Q13442814']","['Q59000000', 'Q55982392', 'Q56158061', 'Q91497772', 'Q58277538', 'Q57567799', 'Q91490688', 'Q58416366', 'Q79947441', 'Q94244876', 'Q191067', 'Q13442814', 'Q103184', 'Q5707594', 'Q712597', 'Q88392887', 'Q2360918', 'Q111478', 'Q16200559', 'Q33643329']","['Q58416366', 'Q79947441']",['Q55982392'],['Q55982392'],"['Q55982392', 'Q58277538']","['Q103184', 'Q5597085']"
57,Who is the tallest basketball player of all time?,['basketball player'],['Q3665646'],"['Q3665646', 'Q97142647', 'Q42571251', 'Q47386001', 'Q47892394', 'Q106769321', 'Q28811411', 'Q98226962', 'Q90685732']",['Q3665646'],['Q3665646'],['Q3665646'],['Q3665646'],"['Q5372', 'Q11471']"
58,How old is Justin Bieber?,['Justin Bieber'],['Q34086'],"['Q34086', 'Q110037270', 'Q949429', 'Q1164777', 'Q60456247', 'Q60457386', 'Q60457874', 'Q15285106', 'Q84078716', 'Q60456306']",['Q34086'],['Q34086'],['Q34086'],['Q34086'],['Q34086']
59,Whose birthday is today?,[''],[''],[],[],[],[],[],"['Q47223', 'Q130838']"
60,Is Michael Jackson the oldest child?,['Michael Jackson'],['Q2831'],"['Q2831', 'Q167877', 'Q1928065', 'Q92948', 'Q2468273', 'Q41875025', 'Q512265', 'Q6831556', 'Q75761279', 'Q75478467']",['Q2831'],['Q2831'],['Q2831'],"['Q2831', 'Q167877']","['Q2831', 'Q7569']"
61,Which countries have a female head of state?,['female'],['Q6581072'],"['Q43445', 'Q6581072', 'Q467', 'Q639354', 'Q11659367', 'Q15600976', 'Q63650079', 'Q5442715', 'Q18708947', 'Q47128284']",['Q6581072'],['Q6581072'],"['Q639354', 'Q6581072']","['Q639354', 'Q6581072']","['Q6256', 'Q48352', 'Q7275']"
62,Which countries have a monarchy?,"['countries', ' monarchy']","['Q3624078', ' Q7269']","['Q6256', 'Q60332278', 'Q87048619', 'Q60845045', 'Q59542795', 'Q61830521', 'Q3063249', 'Q59621182', 'Q160016', 'Q104905121', 'Q83440', 'Q6256', 'Q201608', 'Q353073', 'Q1754454', 'Q25279', 'Q22828881', 'Q175185', 'Q12629233', 'Q5177190', 'Q7269', 'Q6898056', 'Q6898055', 'Q55071938', 'Q85786104', 'Q739941', 'Q7995869', 'Q889833', 'Q508840', 'Q26796319']","['Q60332278', 'Q60845045', 'Q59542795', 'Q59621182', 'Q7269']","['Q6256', 'Q7269']","['Q6256', 'Q7269']","['Q6256', 'Q7269']","['Q6256', 'Q7269']"
63,Which universities are based in Peru?,"['universities', ' Peru']","['Q3918', ' Q419']","['Q3918', 'Q239221', 'Q42772745', 'Q943498', 'Q1346473', 'Q1849445', 'Q7894455', 'Q2887889', 'Q100399433', 'Q4005852', 'Q3918', 'Q2463874', 'Q1786951', 'Q7894478', 'Q3612349', 'Q34433', 'Q13371', 'Q35794', 'Q41506', 'Q168756', 'Q419', 'Q386657', 'Q576648', 'Q228355', 'Q14083868', 'Q941045', 'Q965135', 'Q614143', 'Q170254', 'Q38874']","['Q3918', 'Q3918', 'Q419']","['Q3918', 'Q419']","['Q3918', 'Q419']","['Q3918', 'Q419']","['Q3918', 'Q419']"
64,Which element precedes tin in the periodic table?,['tin'],['Q1096'],"['Q1096', 'Q2846150', 'Q2556927', 'Q926518', 'Q15706035', 'Q1571007', 'Q1211804', 'Q2296387', 'Q1596012', 'Q65']",['Q1096'],['Q1096'],['Q1096'],['Q1096'],"['Q11344', 'Q10693']"
65,Which element has the lowest melting point?,['element'],['Q11344'],"['Q11344', 'Q379825', 'Q4406616', 'Q1310239', 'Q180750', 'Q47004029', 'Q4503801', 'Q47450979', 'Q5358816', 'Q2621792']",['Q379825'],['Q379825'],['Q379825'],['Q379825'],"['Q11344', 'Q15318']"
66,Which language is the official language of the most countries?,['countries'],['Q3624078'],"['Q6256', 'Q60332278', 'Q87048619', 'Q60845045', 'Q59542795', 'Q61830521', 'Q3063249', 'Q59621182', 'Q160016', 'Q104905121', 'Q83440', 'Q6256', 'Q201608', 'Q353073', 'Q1754454', 'Q25279', 'Q22828881', 'Q175185', 'Q12629233', 'Q5177190']","['Q6256', 'Q6256']",['Q6256'],['Q6256'],['Q6256'],"['Q315', 'Q23492', 'Q6256']"
67,Which culinary nuts are not botanical nuts?,"['culinary nuts', ' botanical nuts']","['Q3320037', ' Q11009']","['Q3320037', 'Q3320037', 'Q11009', 'Q11009']","['Q3320037', 'Q11009']","['Q3320037', 'Q11009']","['Q3320037', 'Q11009']","['Q3320037', 'Q11009']","['Q3320037', 'Q11009']"
68,Which colours are named after fruits?,"['colours', ' fruits']","['Q1075', ' Q3314483']","['Q17374132', 'Q2984476', 'Q868377', 'Q4992388', 'Q5149259', 'Q5149258', 'Q1794704', 'Q5149249', 'Q18606759', 'Q5149263', 'Q1075', 'Q22006653', 'Q3683633', 'Q3133', 'Q943', 'Q24898781', 'Q17374140', 'Q47071', 'Q5149181', 'Q5149178', 'Q1364', 'Q1085538', 'Q15755640', 'Q38380', 'Q3089329', 'Q106768319', 'Q50942016', 'Q106967377', 'Q50931982', 'Q89477374', 'Q3314483', 'Q1470762', 'Q132087', 'Q1030567', 'Q1284732', 'Q2012998', 'Q130888', 'Q21615140']","['Q2984476', 'Q50942016', 'Q50931982']","['Q17374132', 'Q15755640']","['Q2984476', 'Q17374132', 'Q15755640', 'Q3089329']","['Q2984476', 'Q868377', 'Q17374132', 'Q15755640', 'Q3089329']","['Q1075', 'Q1364']"
69,Which mayors were not human?,"['mayors', ' human']","['Q30185', ' Q5']","['Q7750742', 'Q747279', 'Q1586610', 'Q47526089', 'Q6797886', 'Q42688505', 'Q12056111', 'Q47526088', 'Q50054133', 'Q4275036', 'Q30185', 'Q177529', 'Q1339249', 'Q670106', 'Q6797626', 'Q731893', 'Q17175157', 'Q1914488', 'Q98165903', 'Q27952232', 'Q5', 'Q15978631', 'Q1156970', 'Q73755406', 'Q924827', 'Q2408214', 'Q208499', 'Q229565', 'Q20629223', 'Q849189']","['Q30185', 'Q73755406']",['Q30185'],"['Q30185', 'Q73755406']","['Q30185', 'Q73755406', 'Q229565']",['Q30185']
70,Which polygonal numbers are also pronic?,"['polygonal numbers', ' pronic']","['Q836270', ' Q1486643']","['Q60692751', 'Q836270', 'Q60692751', 'Q1486643', 'Q4380804', 'Q56540344', 'Q28470631', 'Q81906294', 'Q23841896', 'Q35293221', 'Q23879326']","['Q836270', 'Q1486643']","['Q60692751', 'Q1486643']","['Q60692751', 'Q1486643']","['Q60692751', 'Q1486643', 'Q56540344']",['Q836270']
71,What's the next prime after 51?,"['prime', ' 51']","['Q49008', ' Q712808']","['Q49008', 'Q1123917', 'Q914681', 'Q1070216', 'Q1303495', 'Q47468023', 'Q1657016', 'Q2063287', 'Q36872587', 'Q2723204', 'Q23439', 'Q895860', 'Q242253', 'Q28267', 'Q1099', 'Q5447611', 'Q5121087', 'Q1309548', 'Q5652593', 'Q4640060']","['Q1070216', 'Q23439', 'Q895860']","['Q914681', 'Q23439']","['Q1070216', 'Q23439', 'Q895860']","['Q1070216', 'Q914681', 'Q23439', 'Q895860']",['Q49008']
72,What animal can hear the highest frequency?,[''],[''],[],[],[],[],[],"['Q729', 'Q11652']"
73,Which countries use the same plug as Canada?,"['countries', ' Canada']","['Q3624078', ' Q16']","['Q6256', 'Q60332278', 'Q87048619', 'Q60845045', 'Q59542795', 'Q61830521', 'Q3063249', 'Q59621182', 'Q160016', 'Q104905121', 'Q83440', 'Q6256', 'Q201608', 'Q353073', 'Q1754454', 'Q25279', 'Q22828881', 'Q175185', 'Q12629233', 'Q5177190', 'Q16', 'Q1121436', 'Q2569593', 'Q14624136', 'Q257304', 'Q2935756', 'Q13265725', 'Q13265795', 'Q5029265', 'Q2608363']","['Q6256', 'Q6256', 'Q16']","['Q6256', 'Q16']","['Q6256', 'Q16']","['Q6256', 'Q16']","['Q6256', 'Q1455863', 'Q16']"
74,Who has won more than one type of Nobel Prize?,['Nobel Prize'],['Q7191'],"['Q7191', 'Q37922', 'Q80061', 'Q68632222', 'Q68617247', 'Q56550587', 'Q93856116', 'Q84949135', 'Q81850411', 'Q68562111']",['Q7191'],['Q7191'],['Q7191'],['Q7191'],"['Q190087', 'Q7191']"
75,Which city has the most catedrals?,"['city', ' catedrals']","['Q515', ' Q2977']","['Q515', 'Q50602', 'Q19481', 'Q18736', 'Q19444', 'Q18662', 'Q18721', 'Q18659', 'Q19477', 'Q48879', 'Q1784490', 'Q11913260']","['Q515', 'Q1784490']","['Q515', 'Q1784490']","['Q515', 'Q1784490']","['Q515', 'Q1784490']","['Q515', 'Q5051801']"
76,What make of car is a Corolla?,['Corolla'],['Q243543'],"['Q1840192', 'Q5053584', 'Q2997624', 'Q238479', 'Q37502045', 'Q29734393', 'Q5172092', 'Q123836', 'Q28587745', 'Q48738128']","['Q5053584', 'Q2997624', 'Q37502045', 'Q5172092']",['Q5053584'],"['Q5053584', 'Q2997624']","['Q5053584', 'Q2997624', 'Q238479']","['Q17412622', 'Q1420', 'Q243543']"
77,What is the tallest mountain in the Andes?,"['Mountain', ' Andes']","['Q8502', ' Q5456']","['Q8502', 'Q1255792', 'Q1473477', 'Q2032181', 'Q356707', 'Q3861158', 'Q20997411', 'Q1885759', 'Q910112', 'Q46831', 'Q5456', 'Q10411246', 'Q267585', 'Q353257', 'Q4754284', 'Q749303', 'Q3472275', 'Q491753', 'Q2849196', 'Q37487918']","['Q1255792', 'Q5456']","['Q1255792', 'Q5456']","['Q1255792', 'Q5456']","['Q1255792', 'Q5456']","['Q8502', 'Q5456']"
78,Which American president had the most wives?,['American president'],['Q11696'],"['Q429311', 'Q466438', 'Q4744731', 'Q58249358', 'Q60163604', 'Q43575205', 'Q48759717', 'Q35073']",['Q429311'],['Q429311'],['Q429311'],['Q429311'],"['Q429311', 'Q3046146']"
79,Which countries drive on the left?,['left'],['Q13196750'],"['Q164597', 'Q150068', 'Q13196750', 'Q3485002', 'Q22672535', 'Q1477', 'Q6516779', 'Q101879468', 'Q37195793', 'Q28452244']",['Q13196750'],['Q13196750'],['Q13196750'],"['Q6516779', 'Q13196750']","['Q6256', 'Q164597']"
80,When was the Rubix cube invented?,['Rubix cube'],['Q47043'],['Q47043'],['Q47043'],['Q47043'],['Q47043'],['Q47043'],['Q812880']
81,Which conferences were organized by Turing award winners?,"['Turing award', ' conferences']","['Q185667', ' Q2020153']","['Q185667', 'Q56067342', 'Q58728117', 'Q88489923', 'Q87703713', 'Q88514878', 'Q88489549', 'Q88536900', 'Q83319092', 'Q87771414', 'Q88478253', 'Q88514452', 'Q625994', 'Q58916', 'Q2992826', 'Q18504', 'Q348914', 'Q747247', 'Q63968525', 'Q101049682', 'Q55844602', 'Q104638836']","['Q185667', 'Q88489923', 'Q87703713', 'Q88514878', 'Q88489549', 'Q88536900', 'Q83319092', 'Q87771414', 'Q88478253', 'Q88514452']","['Q185667', 'Q58728117']","['Q185667', 'Q58728117', 'Q88489923']","['Q185667', 'Q58728117', 'Q88489923', 'Q87703713']","['Q2020153', 'Q7251']"
82,What video games are made by the developer of League of Legends?,"['video games', ' League of Legends']","['Q7889', ' Q223341']","['Q771253', 'Q75115362', 'Q17989995', 'Q75118273', 'Q61052442', 'Q1783351', 'Q108198287', 'Q75116167', 'Q47510340', 'Q75135609', 'Q7889', 'Q87577146', 'Q210167', 'Q105393890', 'Q110593025', 'Q110593950', 'Q37643', 'Q1137109', 'Q209163', 'Q193564', 'Q223341', 'Q105221896', 'Q3451481', 'Q66364628', 'Q12594341', 'Q75230763', 'Q12594338', 'Q30560738', 'Q18345628', 'Q19840331']","['Q1783351', 'Q223341']","['Q771253', 'Q223341']","['Q771253', 'Q223341']","['Q771253', 'Q223341']","['Q7889', 'Q5482740', 'Q223341', 'Q15921494']"
83,"Which writers speak French, Arabic and Japanese?","['writers', ' French', ' Arabic', ' Japanese']","['Q36180', ' Q150', ' Q13955', ' Q5287']","['Q36180', 'Q4363611', 'Q25183171', 'Q89679726', 'Q1415017', 'Q8038509', 'Q2030806', 'Q23902005', 'Q7886506', 'Q1180240', 'Q28389', 'Q343449', 'Q8038435', 'Q106920272', 'Q37244077', 'Q11919805', 'Q278919', 'Q150', 'Q121842', 'Q15304085', 'Q4492684', 'Q609272', 'Q941354', 'Q64590298', 'Q19872180', 'Q142', 'Q8447', 'Q13955', 'Q1828555', 'Q3512821', 'Q5625652', 'Q6008683', 'Q941354', 'Q1401708', 'Q1967409', 'Q4783137', 'Q199700', 'Q5287', 'Q161652', 'Q190502', 'Q5615925', 'Q5611114', 'Q346080', 'Q58893412', 'Q82772', 'Q177837', 'Q131578']","['Q25183171', 'Q150', 'Q13955', 'Q5287']","['Q25183171', 'Q150', 'Q13955', 'Q5287']","['Q36180', 'Q25183171', 'Q150', 'Q13955', 'Q5287']","['Q36180', 'Q25183171', 'Q150', 'Q13955', 'Q5287']","['Q28389', 'Q150', 'Q5287']"
84,Which pandemic lasted the longest?,['pandemic'],['Q12184'],"['Q12184', 'Q531592', 'Q3893132', 'Q902803', 'Q23707696', 'Q2049283', 'Q96052701', 'Q84158406', 'Q847457', 'Q107315043']",['Q12184'],['Q12184'],['Q12184'],"['Q12184', 'Q531592']",['Q12184']
85,Give me all whiskey distilleries in Ireland.,"['whiskey distilleries', ' Ireland']","['Q10373548', ' Q27']","['Q27', 'Q22890', 'Q215530', 'Q1140152', 'Q28199768', 'Q57695350', 'Q1672441', 'Q2368', 'Q7411777', 'Q583845']",['Q22890'],['Q22890'],['Q22890'],['Q22890'],"['Q281', 'Q22890']"
86,Find animals with Twitter accounts.,['animals'],['Q729'],"['Q729', 'Q151542', 'Q27725748', 'Q206216', 'Q2817254', 'Q14565308', 'Q17716087', 'Q4180616', 'Q15709797', 'Q2850023', 'Q2757752', 'Q547234', 'Q1274979', 'Q227922', 'Q547517', 'Q4764900', 'Q475286', 'Q410470', 'Q17317998']",['Q27725748'],['Q27725748'],"['Q27725748', 'Q206216']","['Q27725748', 'Q206216']","['Q729', 'Q918']"
87,How many regions of France are there?,['regions of France'],['Q36784'],"['Q36784', 'Q36784']","['Q36784', 'Q36784']",['Q36784'],"['Q36784', 'Q36784']","['Q36784', 'Q36784']","['Q36784', 'Q142']"
88,Which living people have an element named after them?,"['people', ' chemical element']","['Q5', ' Q11344']","['Q5', 'Q2472587', 'Q33659', 'Q399570', 'Q3283364', 'Q148', 'Q262', 'Q902', 'Q33946', 'Q41710', 'Q11344', 'Q53931299', 'Q102500', 'Q19549', 'Q58118083', 'Q83210965', 'Q28478424', 'Q39785839', 'Q53881097', 'Q4391770']","['Q2472587', 'Q11344']","['Q2472587', 'Q11344']","['Q2472587', 'Q11344']","['Q2472587', 'Q11344']","['Q5', 'Q11344']"
89,Which Chilean companies have U.S. parent companies?,"['companies', ' Chilean', ' U.S.']","['Q4830453', ' Q298', ' Q30']","['Q257303', 'Q2609670', 'Q110821285', 'Q100400179', 'Q100398112', 'Q5155400', 'Q100399172', 'Q5155398', 'Q100162381', 'Q16950654', 'Q783794', 'Q102538', 'Q2915810', 'Q225093', 'Q681815', 'Q23723998', 'Q15803748', 'Q37533014', 'Q10294924', 'Q5155503', 'Q1029550', 'Q107197029', 'Q172025', 'Q208711', 'Q606832', 'Q1889042', 'Q18067639', 'Q466956', 'Q200050', 'Q18882653', 'Q30', 'Q28775762', 'Q15180', 'Q4917', 'Q29552', 'Q8676', 'Q11220', 'Q11201', 'Q9212', 'Q7976']","['Q102538', 'Q107197029', 'Q28775762']","['Q783794', 'Q1029550', 'Q28775762']","['Q783794', 'Q1029550', 'Q107197029', 'Q30']","['Q783794', 'Q1029550', 'Q107197029', 'Q200050', 'Q30']","['Q783794', 'Q1956113']"
90,Did Tarantino direct a movie last year?,['Tarantino'],['Q3772'],"['Q3772', 'Q695526', 'Q388029', 'Q21487819', 'Q340129', 'Q16686650', 'Q18678733', 'Q3568062', 'Q17655039', 'Q20065538']",['Q18678733'],['Q695526'],['Q695526'],['Q695526'],"['Q3772', 'Q11424', 'Q5274490']"
91,Which smartphones are made in China?,"['smartphones', ' China']","['Q22645', ' Q29520']","['Q22645', 'Q18163867', 'Q34385613', 'Q38172014', 'Q53676808', 'Q33454438', 'Q38073433', 'Q26823260', 'Q33438818', 'Q35919211', 'Q148', 'Q29520', 'Q7704180', 'Q942154', 'Q136211', 'Q932423', 'Q288864', 'Q3447500', 'Q2308761', 'Q1364589']","['Q22645', 'Q29520']","['Q22645', 'Q29520']","['Q22645', 'Q29520']","['Q22645', 'Q29520']","['Q22645', 'Q148']"
92,Which animals have a Unicode character?,['animals'],['Q55983715'],"['Q729', 'Q151542', 'Q27725748', 'Q206216', 'Q2817254', 'Q14565308', 'Q17716087', 'Q4180616', 'Q15709797', 'Q2850023', 'Q2757752', 'Q547234', 'Q1274979', 'Q227922', 'Q547517', 'Q4764900', 'Q475286', 'Q410470', 'Q17317998']",['Q27725748'],['Q27725748'],['Q27725748'],['Q27725748'],"['Q729', 'Q8819']"
93,Which movie of the past decade has won the most Academy Awards?,"['movie', ' Academy Awards']","['Q11424', ' Q19020']","['Q11424', 'Q1473699', 'Q3032397', 'Q41253', 'Q2526255', 'Q3282637', 'Q188473', 'Q220505', 'Q2650998', 'Q506240', 'Q19020', 'Q16913666', 'Q83532676', 'Q73105727', 'Q51954858', 'Q51954885', 'Q51954895', 'Q4671340', 'Q67657879', 'Q70189784']","['Q11424', 'Q2650998', 'Q19020']","['Q11424', 'Q19020']","['Q11424', 'Q19020']","['Q11424', 'Q2650998', 'Q19020']","['Q11424', 'Q39911', 'Q19020']"
94,Which diesel cars are made by Honda?,"['diesel', ' cars', ' Honda']","['Q174174', ' Q1420', ' Q9584']","['Q174174', 'Q38423', 'Q1221452', 'Q280793', 'Q158285', 'Q784997', 'Q1702311', 'Q4037333', 'Q21857545', 'Q16831067', 'Q182153', 'Q1059038', 'Q5046850', 'Q3029984', 'Q613298', 'Q405692', 'Q3512522', 'Q62846448', 'Q17855882', 'Q10874194', 'Q929', 'Q1420', 'Q10470', 'Q44356', 'Q13606', 'Q224743', 'Q21051297', 'Q18035121', 'Q134113', 'Q18030765', 'Q9584', 'Q3259531', 'Q14497179', 'Q932513', 'Q19347129', 'Q171342', 'Q228233', 'Q748259', 'Q2300080', 'Q52699125']","['Q38423', 'Q182153', 'Q613298', 'Q9584']","['Q38423', 'Q182153', 'Q9584']","['Q38423', 'Q182153', 'Q9584']","['Q38423', 'Q182153', 'Q9584']","['Q11320216', 'Q9584']"
95,Who was the winner of the latest Fields Medal?,['Fields Medal'],['Q28835'],"['Q28835', 'Q5447202', 'Q80946124', 'Q61534484', 'Q81028588', 'Q81104507']",['Q28835'],['Q28835'],['Q28835'],['Q28835'],"['Q15116397', 'Q28835']"
96,Who wrote The Old Man and the Sea?,['The Old Man and the Sea'],['Q26505'],"['Q26505', 'Q1198269', 'Q177145', 'Q387241', 'Q7754883', 'Q50383519', 'Q108200440', 'Q48688893', 'Q106935956', 'Q57459200']",['Q26505'],['Q26505'],['Q26505'],['Q26505'],"['Q1055469', 'Q498805']"
97,Which YouTube channels talk about maths?,"['YouTube channels', ' maths']","['Q17558136', ' Q395']","['Q108932203', 'Q108931581', 'Q17558136', 'Q63185508', 'Q110875209', 'Q35907496', 'Q111660285', 'Q110991169', 'Q111590483', 'Q111590519', 'Q110991190', 'Q110991181', 'Q395', 'Q96099739', 'Q1709622', 'Q853077', 'Q1166625', 'Q29182003', 'Q66786238', 'Q101113099', 'Q72271334', 'Q3377737', 'Q170790', 'Q8366', 'Q65943', 'Q21148294', 'Q486902', 'Q6786758', 'Q37483552', 'Q829984', 'Q36161']","['Q110991190', 'Q6786758']","['Q110991190', 'Q21148294']","['Q17558136', 'Q21148294']","['Q17558136', 'Q21148294']","['Q866', 'Q395']"
98,List Italian sauces.,"['sauce', ' Italy']","['Q178359', ' Q38']","['Q178359', 'Q249114', 'Q1242466', 'Q429855', 'Q1015993', 'Q343493', 'Q37559745', 'Q58809338', 'Q27194583', 'Q7598170', 'Q38', 'Q172579', 'Q223936', 'Q145694', 'Q838931', 'Q977238', 'Q48742118', 'Q66477411', 'Q353296', 'Q5343710']","['Q178359', 'Q38']","['Q178359', 'Q38']","['Q178359', 'Q38']","['Q178359', 'Q38']","['Q178359', 'Q52715628']"
99,What diseases are associated with the gene FGF14?,['FGF14'],['Q17928040'],"['Q17928040', 'Q18250567', 'Q24785004', 'Q24396191', 'Q29771624', 'Q21984249', 'Q21130649', 'Q24615053', 'Q55200203', 'Q29831901']",['Q17928040'],['Q17928040'],['Q17928040'],['Q17928040'],"['Q12136', 'Q7187', 'Q17928040']"
100,What ultra-cool dwarfs have been found in the constellation Aquarius?,"['ultra-cool dwarfs', ' Aquarius']","['Q24039974', ' Q10576']","['Q68675654', 'Q24039974', 'Q68675654', 'Q68360378', 'Q10576', 'Q423930', 'Q162119', 'Q224371', 'Q774509', 'Q17457913', 'Q2859194', 'Q1886982', 'Q23833608', 'Q1210656']","['Q24039974', 'Q1210656']","['Q24039974', 'Q10576']","['Q24039974', 'Q68360378', 'Q10576']","['Q24039974', 'Q68360378', 'Q10576']","['Q214045', 'Q8928', 'Q162119']"
